Topic,Count,Name,Representation,Representative_Docs
9,45,9_erythema affecting_erythema_site_application,"['erythema affecting', 'erythema', 'site', 'application', 'application site', 'experienced application', 'administration', 'general disorders', 'site conditions', 'affecting general']","['The subject experienced application site erythema. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced application site erythema. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced application site erythema. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
10,39,10_site_experienced application_application_application site,"['site', 'experienced application', 'application', 'application site', 'administration', 'administration site', 'disorders administration', 'conditions severity', 'conditions', 'general']","['The subject experienced application site dermatitis. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site dermatitis. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site dermatitis. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
11,35,11_psychiatric_affecting psychiatric_psychiatric disorders_disorders severity,"['psychiatric', 'affecting psychiatric', 'psychiatric disorders', 'disorders severity', 'disorders', 'possible', 'possible outcome', 'drug possible', 'resolved', 'resolved treatment']","['The subject experienced agitation. affecting the psychiatric disorders. Severity: moderate. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced confusional state. affecting the psychiatric disorders. Severity: moderate. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced depressed mood. affecting the psychiatric disorders. Severity: moderate. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
12,21,12_connective tissue_musculoskeletal_musculoskeletal connective_affecting musculoskeletal,"['connective tissue', 'musculoskeletal', 'musculoskeletal connective', 'affecting musculoskeletal', 'connective', 'pain', 'pain affecting', 'experienced pain', 'tissue', 'tissue disorders']","['The subject experienced back pain. affecting the musculoskeletal and connective tissue disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced flank pain. affecting the musculoskeletal and connective tissue disorders. Severity: moderate. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced flank pain. affecting the musculoskeletal and connective tissue disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
13,16,13_infestations severity_affecting infections_infestations_infections infestations,"['infestations severity', 'affecting infections', 'infestations', 'infections infestations', 'infections', 'infection affecting', 'infection', 'tract infection', 'tract', 'urinary']","['The subject experienced urinary tract infection. affecting the infections and infestations. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced urinary tract infection. affecting the infections and infestations. Severity: mild. Relationship to study drug: remote. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced urinary tract infection. affecting the infections and infestations. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
14,15,14_urinary_drug outcome_abnormal_abnormal affecting,"['urinary', 'drug outcome', 'abnormal', 'abnormal affecting', 'disorders severity', 'affecting investigations', 'investigations severity', 'investigations', 'outcome recoveredresolved', 'recoveredresolved treatment']","['The subject experienced micturition urgency. affecting the renal and urinary disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.', 'The subject experienced micturition urgency. affecting the renal and urinary disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced pollakiuria. affecting the renal and urinary disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
15,15,15_medical procedures_medical_surgical medical_surgical,"['medical procedures', 'medical', 'surgical medical', 'surgical', 'procedures', 'procedures severity', 'affecting surgical', 'placebo subject', 'arm placebo', 'placebo']","['The subject experienced cataract operation. affecting the surgical and medical procedures. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced cataract operation. affecting the surgical and medical procedures. Severity: moderate. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced eye laser surgery. affecting the surgical and medical procedures. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.']"
16,14,16_poisoning procedural_affecting injury_injury_complications,"['poisoning procedural', 'affecting injury', 'injury', 'complications', 'complications severity', 'injury poisoning', 'procedural complications', 'poisoning', 'procedural', 'fracture affecting']","['The subject experienced fall. affecting the injury, poisoning and procedural complications. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced fall. affecting the injury, poisoning and procedural complications. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced fall. affecting the injury, poisoning and procedural complications. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.']"
17,13,17_nutrition_nutrition disorders_metabolism_affecting metabolism,"['nutrition', 'nutrition disorders', 'metabolism', 'affecting metabolism', 'metabolism nutrition', 'decreased', 'increased', 'disorders severity', 'placebo subject', 'placebo']","['The subject experienced hypercholesterolaemia. affecting the metabolism and nutrition disorders. Severity: moderate. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced dehydration. affecting the metabolism and nutrition disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: placebo.', 'The subject experienced food craving. affecting the metabolism and nutrition disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: placebo.']"
18,13,18_site_application_application site_experienced application,"['site', 'application', 'application site', 'experienced application', 'administration', 'site conditions', 'general disorders', 'affecting general', 'general', 'conditions']","['The subject experienced application site vesicles. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site vesicles. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site vesicles. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
19,13,19_nervous_affecting nervous_nervous disorders_drug remote,"['nervous', 'affecting nervous', 'nervous disorders', 'drug remote', 'remote outcome', 'remote', 'disorders severity', 'low dose', 'low', 'xanomeline low']","['The subject experienced somnolence. affecting the nervous system disorders. Severity: moderate. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced somnolence. affecting the nervous system disorders. Severity: moderate. Relationship to study drug: remote. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced somnolence. affecting the nervous system disorders. Severity: moderate. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
